study_id,site_id,site_name,investigator,country,region,lat,lon,status,activation_date,days_to_activate,patients_screened,patients_enrolled,screen_fail_rate,enrollment_rate_per_month,target_enrollment,quality_score,query_rate_per_100_crfs,protocol_deviations,major_deviations,monitoring_visits_completed,monitoring_visits_planned,last_monitoring_visit
BIO-2024-610,SITE-1014,Teaching Hospital - Argentina,Dr. Dubois,Argentina,Latin America,-36.21166574246968,-61.722593945219536,Closed,2024-01-03,54,10,8,26.4,0.87,37,0.906,4.1,0,0,5,12,2026-01-07
BIO-2024-610,SITE-1015,Academic Health System - Germany,Dr. O'Brien,Germany,Europe,51.63973538282582,10.28027580211085,Active,2024-03-10,121,10,10,9.0,1.85,31,0.545,6.6,3,1,2,16,2025-12-24
BIO-2024-610,SITE-1016,Biomedical Research Institute - South Korea,Dr. Silva,South Korea,Asia-Pacific,37.67883065404326,127.45608084767704,Active,2023-12-10,30,38,25,35.6,3.1,31,0.486,1.5,2,0,4,13,2026-02-08
BIO-2024-610,SITE-1017,General Hospital - Spain,Dr. Mueller,Spain,Europe,40.49141632918526,-0.8613379043793747,Active,2024-02-22,104,1,1,37.1,0.14,17,0.806,0.9,2,0,5,10,2026-01-26
BIO-2024-610,SITE-1018,Community Health Network - Canada,Dr. O'Brien,Canada,North America,55.98687236433776,-105.1732916974235,Active,2024-04-19,161,0,0,22.6,0.0,16,0.738,10.0,2,0,1,15,2026-01-08
BIO-2024-610,SITE-1019,Metropolitan Hospital - United States,Dr. Mueller,United States,North America,42.17124102612319,-98.429935347306,Active,2024-02-06,88,20,17,17.2,2.29,15,0.754,5.9,1,0,10,11,2026-01-09
BIO-2024-610,SITE-1020,Regional Research Institute - Japan,Dr. Brown,Japan,Asia-Pacific,37.93502743164403,138.19065319357432,Active,2024-02-06,88,13,11,16.9,2.15,25,0.614,4.4,1,1,2,13,2026-01-04
BIO-2024-610,SITE-1021,Clinical Research Center - United States,Dr. Johnson,United States,North America,38.27574637030705,-100.53591176044267,Active,2023-12-27,47,0,0,35.7,0.0,19,0.857,4.1,1,1,8,12,2026-02-04
BIO-2024-610,SITE-1022,Memorial Cancer Center - South Korea,Dr. Lee,South Korea,Asia-Pacific,34.35445839449048,125.38902094843522,Active,2024-02-21,103,24,18,26.7,2.49,19,0.886,5.0,2,1,5,16,2026-01-08
BIO-2024-610,SITE-1023,National Medical Center - Australia,Dr. Rossi,Australia,Asia-Pacific,-28.011432136215475,135.4890868905085,Active,2024-03-09,120,13,10,25.5,1.13,30,0.621,3.8,2,0,3,10,2026-01-07
BIO-2024-610,SITE-1024,Metropolitan Hospital - Germany,Dr. Thompson,Germany,Europe,50.689168858818654,9.396894715474906,Active,2024-02-26,108,16,11,31.5,1.12,29,0.556,4.2,0,0,4,6,2025-12-23
BIO-2024-610,SITE-1025,Comprehensive Care Center - South Africa,Dr. Garcia,South Africa,Africa,-32.70049543590736,21.275508371395848,Active,2024-03-03,114,13,10,27.5,2.01,30,0.681,2.5,0,1,3,8,2026-01-08
BIO-2024-610,SITE-1026,Institute of Clinical Sciences - India,Dr. Tanaka,India,Asia-Pacific,23.11250313356448,80.64050782274452,Active,2024-01-18,69,7,5,32.2,0.82,28,0.985,1.5,1,0,1,17,2026-01-13
BIO-2024-610,SITE-1027,Biomedical Research Institute - Italy,Dr. Nakamura,Italy,Europe,39.09708002146063,14.976496777274773,Active,2024-01-01,52,8,7,20.0,1.25,26,0.813,3.8,3,0,4,11,2025-12-22
BIO-2024-610,SITE-1028,Health Sciences Center - Argentina,Dr. Dubois,Argentina,Latin America,-38.8392665679795,-61.801307867554385,Active,2024-01-17,68,6,4,35.4,0.55,23,0.645,2.3,2,0,1,13,2026-01-25
BIO-2024-610,SITE-1029,Medical Research Clinic - Spain,Dr. Patel,Spain,Europe,39.85240502658858,-6.547681866037931,Active,2024-01-22,73,29,25,15.0,3.45,30,1.0,10.8,1,1,8,6,2025-12-18
BIO-2024-610,SITE-1030,National Medical Center - South Korea,Dr. Patel,South Korea,Asia-Pacific,37.73188980414743,130.63237269173266,Active,2024-02-12,94,0,0,17.3,0.0,32,0.656,12.7,1,1,4,9,2026-01-07
BIO-2024-610,SITE-1031,Medical Research Clinic - United Kingdom,Dr. Williams,United Kingdom,Europe,55.5498052879652,-2.5991306810431163,Active,2024-01-01,52,11,10,15.6,1.28,15,0.5,10.3,4,0,11,9,2026-01-18
BIO-2024-610,SITE-1032,Clinical Research Center - Italy,Dr. Garcia,Italy,Europe,40.40438396336958,13.298588380144686,Active,2024-02-24,106,6,5,28.0,0.92,26,0.843,7.9,1,0,1,15,2026-01-23
BIO-2024-610,SITE-1033,University Medical Center - Canada,Dr. Petrov,Canada,North America,55.1663023922654,-107.19075903319468,Active,2024-02-01,83,16,10,39.5,1.13,29,0.806,4.6,3,0,8,15,2026-01-19
BIO-2024-610,SITE-1034,Community Health Network - South Korea,Dr. Lopez,South Korea,Asia-Pacific,36.919504787300234,124.96499262626061,Active,2024-04-06,148,30,20,34.9,2.81,37,0.661,5.7,5,0,10,10,2026-01-22
BIO-2024-610,SITE-1035,Institute of Clinical Sciences - Italy,Dr. Kim,Italy,Europe,40.79174202698366,12.736947754252023,Active,2024-02-02,84,8,7,21.4,1.1,20,0.627,6.8,3,0,2,6,2026-01-28
BIO-2024-610,SITE-1036,Medical Research Clinic - Australia,Dr. Singh,Australia,Asia-Pacific,-26.57656605007551,132.57784872273595,Active,2024-02-09,91,12,11,11.5,0.93,13,0.838,7.1,1,0,1,10,2025-12-29
BIO-2024-610,SITE-1037,Health Sciences Center - France,Dr. Anderson,France,Europe,44.58401887030656,0.25916819203304975,Active,2024-02-16,98,17,15,16.2,1.79,16,0.653,7.4,3,0,3,13,2026-02-07
BIO-2024-610,SITE-1038,Comprehensive Care Center - Germany,Dr. Johnson,Germany,Europe,49.65852270256196,11.74052068213151,Active,2024-02-22,104,14,9,39.2,1.57,14,0.664,2.5,5,0,5,6,2025-12-25
BIO-2024-610,SITE-1039,Translational Research Hospital - Argentina,Dr. Brown,Argentina,Latin America,-36.4803184955514,-65.22824903085046,Pending,2024-02-24,106,15,10,35.3,1.66,12,0.773,7.6,1,2,2,17,2026-01-05
BIO-2024-610,SITE-1040,University Medical Center - Spain,Dr. Taylor,Spain,Europe,42.9921686330601,-6.084941632055925,Pending,2024-02-10,92,28,19,33.2,3.69,29,0.527,5.1,2,1,2,9,2026-01-17
BIO-2024-610,SITE-1041,Center for Advanced Medicine - United States,Dr. Dubois,United States,North America,39.475416238260486,-99.85824000231,Closed,2024-04-08,150,22,15,34.8,2.37,22,0.646,4.9,0,1,9,12,2026-01-29
BIO-2024-610,SITE-1042,Clinical Research Center - South Korea,Dr. Taylor,South Korea,Asia-Pacific,37.375022072185786,125.90215486129227,Pending,2024-02-25,107,4,4,19.6,1.12,30,0.882,6.4,5,0,2,17,2026-01-28
BIO-2024-610,SITE-1043,Biomedical Research Institute - Brazil,Dr. Schmidt,Brazil,Latin America,-15.714760266379749,-51.549523964500814,Active,2024-02-27,109,11,8,29.6,2.12,16,0.835,6.3,3,0,6,11,2025-12-22
BIO-2024-610,SITE-1044,Institute of Clinical Sciences - Germany,Dr. O'Brien,Germany,Europe,51.525427011064984,7.510205821643241,Active,2024-01-27,78,25,23,10.5,4.02,17,1.0,10.9,6,0,1,15,2026-01-04
BIO-2024-610,SITE-1045,Biomedical Research Institute - Spain,Dr. Garcia,Spain,Europe,41.218581497261816,-2.461145641078593,Active,2024-01-08,59,17,17,5.0,2.67,35,0.713,3.0,1,0,7,14,2025-12-25
BIO-2024-610,SITE-1046,Medical Research Clinic - Canada,Dr. Tanaka,Canada,North America,57.565674393569736,-104.06900332616127,Active,2024-03-11,122,14,10,28.9,1.48,13,0.852,3.3,1,1,2,11,2026-01-26
BIO-2024-610,SITE-1047,Biomedical Research Institute - Japan,Dr. Thompson,Japan,Asia-Pacific,36.67205245143436,137.83169251513752,Active,2024-01-31,82,18,14,26.2,1.89,24,0.842,1.9,1,1,2,7,2026-01-08
BIO-2024-610,SITE-1048,Translational Research Hospital - United Kingdom,Dr. Schmidt,United Kingdom,Europe,54.53709182313361,-3.3243087687651687,Active,2023-12-10,30,0,0,16.1,0.0,14,0.546,3.0,1,1,9,11,2025-12-28
BIO-2024-610,SITE-1049,National Medical Center - South Africa,Dr. Schmidt,South Africa,Africa,-32.814758035689906,25.718926270471265,Active,2024-02-19,101,0,0,27.4,0.0,18,0.577,6.0,1,0,3,11,2026-01-30
BIO-2024-610,SITE-1050,Academic Health System - Italy,Dr. Lee,Italy,Europe,39.21018102344916,13.340017801021482,Active,2024-01-04,55,21,12,44.5,1.31,16,0.662,4.5,1,1,11,10,2026-01-11
BIO-2024-610,SITE-1051,Teaching Hospital - United States,Dr. Martinez,United States,North America,38.011120712737686,-97.4594054000505,Closed,2023-12-23,43,31,21,32.7,3.41,14,0.678,0.0,1,0,8,11,2026-02-08
BIO-2024-610,SITE-1052,University Medical Center - United Kingdom,Dr. Martinez,United Kingdom,Europe,55.92972353614324,-4.491330678291283,Pending,2024-02-13,95,23,16,33.1,2.18,36,0.567,4.8,6,0,9,10,2026-01-31
BIO-2024-610,SITE-1053,Memorial Cancer Center - France,Dr. Schmidt,France,Europe,46.85899083299217,2.580633564090753,Active,2024-01-28,79,24,20,17.1,2.45,25,0.885,4.6,1,0,1,6,2026-01-12
BIO-2024-610,SITE-1054,Academic Health System - United States,Dr. Patel,United States,North America,39.959742783613756,-100.02358204721202,Active,2024-02-17,99,24,19,22.0,2.83,22,0.745,1.4,3,2,7,11,2025-12-29
BIO-2024-610,SITE-1055,University Medical Center - Spain,Dr. Fischer,Spain,Europe,43.26035143197547,-1.7609559064260383,Active,2024-02-11,93,17,10,43.2,1.57,15,0.709,8.8,0,0,10,12,2026-01-31
BIO-2024-610,SITE-1056,Community Health Network - South Korea,Dr. Williams,South Korea,Asia-Pacific,36.77963548053716,125.74864065696427,Active,2024-02-03,85,24,16,34.5,2.01,34,0.651,2.5,1,0,8,6,2026-01-18
BIO-2024-610,SITE-1057,Metropolitan Hospital - Brazil,Dr. Nakamura,Brazil,Latin America,-15.808317423304146,-52.55456402456691,Active,2024-01-18,69,10,7,33.9,0.94,24,0.706,8.7,0,0,2,8,2026-02-06
BIO-2024-610,SITE-1058,Regional Research Institute - Germany,Dr. Mueller,Germany,Europe,50.5071274842339,9.601736475228805,Active,2024-01-26,77,22,18,18.8,2.37,27,1.0,10.1,3,0,1,17,2026-02-11
BIO-2024-610,SITE-1059,Teaching Hospital - Canada,Dr. Brown,Canada,North America,53.68005869788032,-106.5977743824509,Active,2024-02-21,103,11,8,32.0,1.07,20,0.905,5.3,2,0,8,9,2026-02-10
BIO-2024-610,SITE-1060,Teaching Hospital - South Africa,Dr. Schmidt,South Africa,Africa,-28.907831473977687,24.152468186457856,Active,2024-03-02,113,41,33,19.7,4.56,19,0.539,5.2,1,1,2,7,2026-01-03
BIO-2024-610,SITE-1061,Clinical Research Center - Germany,Dr. Martinez,Germany,Europe,51.86770031663582,11.44582283845429,Active,2024-02-13,95,4,4,17.8,0.55,30,0.947,5.1,1,0,3,12,2025-12-23
BIO-2024-610,SITE-1062,Medical Research Clinic - South Africa,Dr. Yamamoto,South Africa,Africa,-29.01114119458203,20.949031763562473,Active,2024-01-12,63,15,12,23.3,1.81,22,0.637,6.6,0,2,9,10,2026-01-10
BIO-2024-610,SITE-1063,University Medical Center - Argentina,Dr. Dubois,Argentina,Latin America,-40.48785088122811,-66.23190223733599,Active,2024-01-26,77,30,29,5.0,3.73,23,0.734,4.8,1,0,2,16,2025-12-25
BIO-2024-610,SITE-1064,Memorial Cancer Center - Australia,Dr. Tanaka,Australia,Asia-Pacific,-24.500862243919215,132.1733676290797,Active,2024-01-31,82,10,9,10.0,2.66,17,0.882,1.3,1,0,4,9,2026-01-06
BIO-2024-610,SITE-1065,Clinical Research Center - South Korea,Dr. Taylor,South Korea,Asia-Pacific,36.39288937867983,128.78584896342946,Active,2024-02-19,101,21,15,31.7,2.6,27,1.0,1.8,2,0,5,15,2025-12-25
BIO-2024-610,SITE-1066,Regional Research Institute - Australia,Dr. Patel,Australia,Asia-Pacific,-26.35194443865964,135.2241424643268,Active,2024-01-09,60,0,0,24.8,0.0,21,0.837,5.4,2,0,4,11,2026-01-02
BIO-2024-610,SITE-1067,Health Sciences Center - Germany,Dr. Thompson,Germany,Europe,48.734160879437646,13.32965162600079,Active,2024-02-05,87,17,14,17.7,2.42,13,0.72,3.9,1,1,8,14,2026-01-21
BIO-2024-610,SITE-1068,Translational Research Hospital - Brazil,Dr. Johnson,Brazil,Latin America,-16.704294019244387,-51.81205448055893,Pending,2024-02-13,95,20,13,35.9,1.75,31,0.836,0.0,2,0,8,14,2026-02-04
BIO-2025-373,SITE-1069,Center for Advanced Medicine - France,Dr. O'Brien,France,Europe,48.824328398982715,-0.5409575852179298,Active,2023-04-14,83,11,11,5.3,0.88,32,1.0,1.7,2,0,4,16,2025-12-25
BIO-2025-373,SITE-1070,Translational Research Hospital - United States,Dr. Patel,United States,North America,38.02421380777339,-98.16949030418628,Active,2023-04-06,75,10,8,20.8,1.65,58,0.609,9.4,4,0,11,7,2026-01-03
BIO-2025-373,SITE-1071,Comprehensive Care Center - South Korea,Dr. Tanaka,South Korea,Asia-Pacific,37.23242562921642,130.01717468279045,Active,2023-05-15,114,34,17,51.3,2.42,46,0.785,5.7,2,0,5,11,2026-01-04
BIO-2025-373,SITE-1072,Regional Research Institute - Italy,Dr. Singh,Italy,Europe,42.52092599957873,13.558807623358174,Active,2023-03-26,64,22,14,36.7,2.34,40,0.664,5.5,0,0,3,6,2025-12-29
BIO-2025-373,SITE-1073,Biomedical Research Institute - United States,Dr. Taylor,United States,North America,42.7900850683577,-95.90132001193865,Active,2023-04-23,92,12,10,20.5,1.79,47,0.854,7.9,1,0,4,9,2025-12-27
BIO-2025-373,SITE-1074,General Hospital - South Africa,Dr. Anderson,South Africa,Africa,-32.246752020445605,22.16148498841823,Active,2023-04-22,91,21,14,33.5,3.14,51,0.881,6.1,3,1,5,15,2026-02-08
BIO-2025-373,SITE-1075,Medical Research Clinic - Poland,Dr. Singh,Poland,Europe,54.74900791668667,18.32724256333999,Active,2023-04-02,71,10,6,42.7,1.41,69,0.999,3.6,1,0,6,17,2026-02-04
BIO-2025-373,SITE-1076,Comprehensive Care Center - South Korea,Dr. Yamamoto,South Korea,Asia-Pacific,38.52093477219855,125.01354727571615,Active,2023-03-19,57,23,15,35.5,2.07,39,1.0,1.1,1,0,9,10,2025-12-17
BIO-2025-373,SITE-1077,Regional Research Institute - Australia,Dr. Brown,Australia,Asia-Pacific,-27.766958529474614,134.90252463346226,Active,2023-05-04,103,23,21,12.5,3.23,76,0.794,0.9,0,0,2,17,2025-12-17
BIO-2025-373,SITE-1078,University Medical Center - South Africa,Dr. Yamamoto,South Africa,Africa,-31.12940675049295,23.805840802905724,Active,2023-04-23,92,13,10,26.8,1.79,29,0.695,2.5,0,2,8,11,2025-12-16
BIO-2025-373,SITE-1079,Comprehensive Care Center - Germany,Dr. Rossi,Germany,Europe,49.06971886771523,8.932960067933628,Pending,2023-05-14,113,0,0,24.6,0.0,55,0.769,8.2,0,0,10,6,2026-02-11
BIO-2025-373,SITE-1080,Academic Health System - India,Dr. Thompson,India,Asia-Pacific,18.77365563826709,77.02033977463826,Active,2023-03-06,44,27,21,22.3,2.88,44,0.645,2.7,1,0,9,9,2026-01-07
BIO-2025-373,SITE-1081,Memorial Cancer Center - Australia,Dr. Dubois,Australia,Asia-Pacific,-27.194650964571842,136.16393826004725,Active,2023-03-15,53,25,23,11.2,3.62,33,0.336,8.2,1,0,4,11,2025-12-29
BIO-2025-373,SITE-1082,Academic Health System - Japan,Dr. O'Brien,Japan,Asia-Pacific,33.75818291876017,135.37618495461433,Active,2023-04-30,99,10,9,16.4,2.36,36,0.921,5.0,3,0,5,8,2026-01-16
BIO-2025-373,SITE-1083,Memorial Cancer Center - South Korea,Dr. Petrov,South Korea,Asia-Pacific,35.420712367086345,130.13215924566722,Active,2023-03-12,50,15,12,22.6,2.5,35,0.793,3.7,2,0,11,14,2026-01-21
BIO-2025-373,SITE-1084,Clinical Research Center - Japan,Dr. Williams,Japan,Asia-Pacific,37.13169445814995,141.15045570300703,Active,2023-05-10,109,14,10,33.0,2.77,30,0.843,3.6,0,0,3,9,2025-12-17
BIO-2025-373,SITE-1085,Medical Research Clinic - India,Dr. Johnson,India,Asia-Pacific,18.960382297541067,78.18967163920321,Active,2023-04-15,84,5,5,12.9,1.4,47,0.969,3.5,0,0,11,9,2025-12-26
BIO-2025-373,SITE-1086,Clinical Research Center - India,Dr. Petrov,India,Asia-Pacific,20.844190859869464,76.47920682117265,Active,2023-05-17,116,18,15,20.9,2.33,26,0.74,6.6,2,0,8,9,2026-01-19
BIO-2025-373,SITE-1087,Biomedical Research Institute - Canada,Dr. Yamamoto,Canada,North America,53.3080216003589,-105.80315898949905,Closed,2023-05-03,102,0,0,32.8,0.06,70,0.908,2.4,1,0,5,10,2025-12-27
BIO-2025-373,SITE-1088,Clinical Research Center - Poland,Dr. Lee,Poland,Europe,53.63281358343215,19.93763336706609,Active,2023-06-11,141,22,17,24.4,2.91,32,0.522,5.5,1,0,4,11,2026-02-01
BIO-2025-373,SITE-1089,Medical Research Clinic - South Korea,Dr. Mueller,South Korea,Asia-Pacific,35.584808847934745,127.54573052258756,Active,2023-05-15,114,9,9,7.5,2.02,53,0.886,4.4,1,0,1,6,2026-02-05
BIO-2025-373,SITE-1090,Academic Health System - South Africa,Dr. Fischer,South Africa,Africa,-29.897600903293196,20.583030360859606,Active,2023-03-08,46,12,10,20.2,2.24,52,0.866,0.0,0,0,9,12,2026-01-31
BIO-2025-373,SITE-1091,Medical Research Clinic - South Africa,Dr. Dubois,South Africa,Africa,-29.294567251610435,24.8775253411915,Active,2023-05-01,100,11,9,19.1,1.94,71,0.972,2.9,1,1,2,7,2026-02-09
BIO-2025-373,SITE-1092,Center for Advanced Medicine - Canada,Dr. Lopez,Canada,North America,53.16078710416646,-105.48342372154275,Pending,2023-03-27,65,20,14,30.9,2.53,57,0.913,5.6,2,0,3,9,2026-02-07
BIO-2025-373,SITE-1093,Clinical Research Center - South Africa,Dr. Schmidt,South Africa,Africa,-28.809717956889887,24.834534242009667,Pending,2023-02-20,30,13,8,41.9,1.64,73,0.834,7.8,2,0,7,13,2026-02-02
BIO-2025-373,SITE-1094,Translational Research Hospital - Germany,Dr. Martinez,Germany,Europe,51.92141390472846,9.44362499948775,Active,2023-02-20,30,29,23,22.3,3.76,47,0.739,6.7,1,1,1,6,2026-01-06
BIO-2025-373,SITE-1095,Clinical Research Center - Australia,Dr. Taylor,Australia,Asia-Pacific,-25.372892816845564,131.58028669506683,Active,2023-04-21,90,17,13,26.1,3.2,45,0.977,11.1,0,1,5,8,2026-01-21
BIO-2025-373,SITE-1096,University Medical Center - Japan,Dr. Lopez,Japan,Asia-Pacific,37.77141087562922,140.2018997716255,Active,2023-05-04,103,17,11,36.7,1.98,41,0.805,4.7,1,0,3,15,2025-12-26
BIO-2025-373,SITE-1097,Academic Health System - Australia,Dr. Kim,Australia,Asia-Pacific,-25.92917354041409,131.0367571973454,Active,2023-05-19,118,2,2,16.3,0.51,54,0.759,6.5,1,2,3,16,2025-12-22
BIO-2025-373,SITE-1098,Teaching Hospital - United Kingdom,Dr. Schmidt,United Kingdom,Europe,55.200444615838876,-1.2187148649127288,Active,2023-04-29,98,0,0,27.7,0.0,45,1.0,3.9,1,2,6,16,2026-01-11
BIO-2025-373,SITE-1099,Health Sciences Center - Canada,Dr. Taylor,Canada,North America,56.85955506655926,-103.74170435961948,Active,2023-05-22,121,13,8,38.7,0.98,50,0.43,14.4,3,1,6,16,2026-02-10
BIO-2025-373,SITE-1100,Academic Health System - Japan,Dr. Chen,Japan,Asia-Pacific,33.6141772453271,135.2339948871774,Pending,2023-05-05,104,15,8,47.4,1.49,68,0.819,8.3,0,0,9,6,2026-01-08
BIO-2025-373,SITE-1101,Teaching Hospital - United States,Dr. Patel,United States,North America,37.261172451656975,-98.4962543915775,Active,2023-03-02,40,2,2,27.1,0.98,62,0.627,4.9,2,1,2,7,2026-01-18
BIO-2025-373,SITE-1102,Metropolitan Hospital - South Korea,Dr. Petrov,South Korea,Asia-Pacific,37.95338447806368,127.99388269664985,Active,2023-05-21,120,0,0,14.0,0.04,27,0.845,4.2,0,0,3,10,2026-01-25
BIO-2025-373,SITE-1103,Institute of Clinical Sciences - India,Dr. Dubois,India,Asia-Pacific,18.55174486715827,81.19195301832983,Active,2023-05-30,129,8,6,30.8,1.0,63,0.852,6.2,1,1,9,17,2025-12-26
BIO-2025-373,SITE-1104,Regional Research Institute - India,Dr. Martinez,India,Asia-Pacific,22.95123286886441,78.50290451745919,Pending,2023-04-25,94,6,5,25.0,1.67,45,0.749,4.0,1,1,3,10,2026-01-27
BIO-2025-373,SITE-1105,Community Health Network - Germany,Dr. Petrov,Germany,Europe,50.95243964710044,11.206038438267226,Closed,2023-05-07,106,11,9,19.5,2.11,31,0.624,6.2,0,0,6,12,2026-01-16
BIO-2025-373,SITE-1106,National Medical Center - India,Dr. Kim,India,Asia-Pacific,18.35434561395336,80.32257930259232,Closed,2023-05-09,108,7,6,15.0,1.67,28,0.741,8.8,5,0,8,11,2025-12-21
BIO-2025-373,SITE-1107,General Hospital - France,Dr. Taylor,France,Europe,45.181456676018435,4.636395314118192,Active,2023-04-22,91,7,5,31.0,1.38,63,0.668,4.5,0,0,9,9,2025-12-17
BIO-2025-373,SITE-1108,Community Health Network - Brazil,Dr. Patel,Brazil,Latin America,-16.109564855743223,-52.286954247166854,Active,2023-04-11,80,3,2,39.1,0.61,43,0.667,0.0,1,0,7,15,2026-02-06
BIO-2025-373,SITE-1109,Regional Research Institute - Poland,Dr. Garcia,Poland,Europe,49.294169153726195,17.469412180962195,Active,2023-05-21,120,26,15,44.2,2.2,51,1.0,7.4,2,0,7,17,2026-01-18
BIO-2025-373,SITE-1110,Translational Research Hospital - Poland,Dr. Lopez,Poland,Europe,50.557423949850914,21.98991994311469,Active,2023-04-01,70,11,8,30.4,1.88,73,0.758,4.4,0,0,11,16,2026-02-12
BIO-2025-373,SITE-1111,General Hospital - France,Dr. Johnson,France,Europe,45.87324983245135,0.4551127924475671,Active,2023-04-25,94,15,11,29.2,1.61,69,0.795,10.2,3,0,11,7,2026-02-02
BIO-2025-373,SITE-1112,University Medical Center - Brazil,Dr. Fischer,Brazil,Latin America,-11.439186373567317,-51.77124216767117,Closed,2023-06-28,158,9,8,17.4,1.59,65,0.796,4.9,0,1,10,13,2026-01-14
BIO-2025-373,SITE-1113,Translational Research Hospital - Poland,Dr. Nakamura,Poland,Europe,49.17634040513974,20.94847569413498,Active,2023-06-04,134,21,19,12.1,3.15,52,0.607,6.4,0,0,11,11,2026-01-07
BIO-2025-373,SITE-1114,General Hospital - South Africa,Dr. Mueller,South Africa,Africa,-27.89442843298471,23.362735516229925,Active,2023-05-01,100,14,11,24.8,2.28,66,0.677,2.6,2,1,4,9,2025-12-22
BIO-2025-373,SITE-1115,Health Sciences Center - South Africa,Dr. Kim,South Africa,Africa,-28.235434184800496,25.57873907890243,Pending,2023-05-04,103,20,16,22.3,3.26,47,0.823,7.0,2,0,4,12,2026-01-02
BIO-2025-373,SITE-1116,Regional Research Institute - Poland,Dr. Patel,Poland,Europe,53.54343733062399,18.21561563557315,Active,2023-05-01,100,4,4,10.5,1.08,52,0.748,1.2,2,1,1,12,2025-12-22
BIO-2025-373,SITE-1117,General Hospital - Argentina,Dr. Thompson,Argentina,Latin America,-41.08859433847614,-65.45328774302399,Active,2023-07-02,162,9,7,23.2,2.34,64,0.893,0.0,1,0,4,14,2026-02-08
BIO-2025-373,SITE-1118,National Medical Center - South Korea,Dr. Fischer,South Korea,Asia-Pacific,35.18413808696519,127.18681829323606,Active,2023-03-22,60,28,26,7.7,3.49,27,0.648,8.6,4,0,2,14,2026-01-27
BIO-2025-373,SITE-1119,Metropolitan Hospital - South Africa,Dr. O'Brien,South Africa,Africa,-31.955570463946856,24.742425423200217,Active,2023-03-24,62,13,7,48.0,1.05,43,0.821,4.6,0,1,6,9,2025-12-23
BIO-2025-373,SITE-1120,Biomedical Research Institute - Australia,Dr. Thompson,Australia,Asia-Pacific,-23.606972421452525,131.54629698744796,Active,2023-06-10,140,28,20,29.4,2.11,58,0.867,6.4,1,1,2,12,2026-02-09
