signal_id,study_id,signal_name,category,description,severity,status,detected_date,affected_sites,n_affected_sites,impact_score,recommended_action,assigned_to,days_open
SIG-77752,BIO-2027-826,Competitive Recruitment Risk,strategic,Competing trial opened at site catchment area,High,Closed,2026-02-08,"[""SITE-1190""]",1,0.98,Implement corrective action plan,Data Management Lead,26
SIG-21252,BIO-2027-826,Protocol Deviation Trend,compliance,Increasing trend in protocol deviations detected,Medium,Under Review,2026-02-09,"[""SITE-1196"", ""SITE-1198""]",2,0.12,Implement corrective action plan,Study Director,37
SIG-43617,BIO-2027-826,Regulatory Milestone At Risk,regulatory,Upcoming regulatory deadline with incomplete data,High,Open,2026-02-03,"[""SITE-1197""]",1,0.14,Adjust enrollment targets,Study Director,43
SIG-11927,BIO-2027-826,Budget Variance Alert,financial,Study spending deviating >15% from forecast,High,Under Review,2026-02-07,"[""SITE-1197"", ""SITE-1201"", ""SITE-1196"", ""SITE-1189"", ""SITE-1198""]",5,0.92,Schedule ad-hoc site visit,Data Management Lead,30
SIG-89072,BIO-2027-826,Monitoring Visit Overdue,compliance,Scheduled monitoring visit is overdue by >30 days,High,Closed,2026-01-21,"[""SITE-1191"", ""SITE-1206"", ""SITE-1188"", ""SITE-1197"", ""SITE-1189""]",5,0.51,Conduct root cause analysis,Data Management Lead,23
SIG-87150,BIO-2028-747,Site Activation Delay,operational,Site activation exceeding planned timeline,Low,Under Review,2026-02-01,"[""SITE-1208"", ""SITE-1242"", ""SITE-1229"", ""SITE-1219"", ""SITE-1213""]",5,0.74,Implement corrective action plan,Supply Chain Manager,30
SIG-72934,BIO-2028-747,High Screen Failure Rate,quality,Screen failure rate exceeds protocol threshold,Low,Under Review,2026-01-21,"[""SITE-1248"", ""SITE-1237"", ""SITE-1236"", ""SITE-1246"", ""SITE-1208""]",5,0.93,Engage backup sites,Supply Chain Manager,13
SIG-59409,BIO-2029-132,Competitive Recruitment Risk,strategic,Competing trial opened at site catchment area,Low,Under Review,2026-01-22,"[""SITE-1251"", ""SITE-1250""]",2,0.28,Escalate to study lead,Clinical Operations Lead,31
SIG-60546,BIO-2029-132,Protocol Deviation Trend,compliance,Increasing trend in protocol deviations detected,High,Open,2026-01-15,"[""SITE-1252"", ""SITE-1250"", ""SITE-1251""]",3,0.68,Increase monitoring frequency,Medical Monitor,40
SIG-45702,BIO-2029-132,Supply Chain Risk,supply,Drug supply levels approaching minimum threshold,Medium,Open,2026-01-15,"[""SITE-1250"", ""SITE-1251""]",2,0.84,Increase monitoring frequency,Supply Chain Manager,26
SIG-67423,BIO-2029-132,Site Activation Delay,operational,Site activation exceeding planned timeline,Medium,Mitigated,2026-01-30,"[""SITE-1252""]",1,0.44,Review with medical monitor,Medical Monitor,32
SIG-51815,BIO-2029-132,Data Quality Alert,quality,Query rate per 100 CRFs exceeds acceptable threshold,Critical,Mitigated,2026-02-12,"[""SITE-1252"", ""SITE-1250"", ""SITE-1251""]",3,0.62,Schedule ad-hoc site visit,Study Director,35
SIG-91132,BIO-2029-132,Enrollment Below Target,enrollment,Enrollment rate is significantly below planned trajectory,High,Closed,2026-02-01,"[""SITE-1250""]",1,0.55,Schedule ad-hoc site visit,Regional CRA Lead,2
SIG-18727,BIO-2030-894,Competitive Recruitment Risk,strategic,Competing trial opened at site catchment area,Medium,Closed,2026-02-05,"[""SITE-1258"", ""SITE-1266"", ""SITE-1257"", ""SITE-1273""]",4,0.39,Increase monitoring frequency,Medical Monitor,41
SIG-52898,BIO-2030-894,Budget Variance Alert,financial,Study spending deviating >15% from forecast,Medium,Under Review,2026-01-28,"[""SITE-1255""]",1,0.38,Escalate to study lead,Study Director,28
SIG-43443,BIO-2030-894,High Screen Failure Rate,quality,Screen failure rate exceeds protocol threshold,High,Under Review,2026-01-27,"[""SITE-1264"", ""SITE-1263"", ""SITE-1261"", ""SITE-1255"", ""SITE-1274""]",5,0.54,Schedule ad-hoc site visit,Regional CRA Lead,17
SIG-90228,BIO-2030-894,Protocol Deviation Trend,compliance,Increasing trend in protocol deviations detected,High,Open,2026-01-16,"[""SITE-1261"", ""SITE-1262"", ""SITE-1254"", ""SITE-1263""]",4,0.98,Escalate to study lead,Clinical Operations Lead,26
SIG-67956,BIO-2031-135,Budget Variance Alert,financial,Study spending deviating >15% from forecast,High,Open,2026-02-02,"[""SITE-1356""]",1,0.34,Review with medical monitor,Clinical Operations Lead,42
SIG-20244,BIO-2031-135,Regulatory Milestone At Risk,regulatory,Upcoming regulatory deadline with incomplete data,Low,Closed,2026-02-05,"[""SITE-1404"", ""SITE-1396"", ""SITE-1450"", ""SITE-1397""]",4,0.42,Increase monitoring frequency,Clinical Operations Lead,23
SIG-92910,BIO-2031-135,Supply Chain Risk,supply,Drug supply levels approaching minimum threshold,Critical,Mitigated,2026-01-28,"[""SITE-1330""]",1,0.95,Schedule ad-hoc site visit,Clinical Operations Lead,10
SIG-79086,BIO-2031-135,High Screen Failure Rate,quality,Screen failure rate exceeds protocol threshold,High,Under Review,2026-02-01,"[""SITE-1330"", ""SITE-1347"", ""SITE-1443""]",3,0.42,Implement corrective action plan,Medical Monitor,38
SIG-56741,BIO-2031-135,Monitoring Visit Overdue,compliance,Scheduled monitoring visit is overdue by >30 days,Medium,Under Review,2026-01-24,"[""SITE-1398"", ""SITE-1283"", ""SITE-1415"", ""SITE-1313""]",4,0.55,Increase monitoring frequency,Supply Chain Manager,43
SIG-68694,BIO-2031-135,Site Activation Delay,operational,Site activation exceeding planned timeline,High,Open,2026-01-28,"[""SITE-1390"", ""SITE-1396"", ""SITE-1400"", ""SITE-1457"", ""SITE-1300""]",5,0.43,Review with medical monitor,Supply Chain Manager,5
SIG-65900,BIO-2032-447,Site Activation Delay,operational,Site activation exceeding planned timeline,Medium,Under Review,2026-02-08,"[""SITE-1468"", ""SITE-1492"", ""SITE-1488"", ""SITE-1487"", ""SITE-1478""]",5,0.63,Increase monitoring frequency,Data Management Lead,16
SIG-14225,BIO-2032-447,High Screen Failure Rate,quality,Screen failure rate exceeds protocol threshold,Medium,Mitigated,2026-02-05,"[""SITE-1468"", ""SITE-1486"", ""SITE-1476"", ""SITE-1470""]",4,0.12,Engage backup sites,Regional CRA Lead,9
SIG-54378,BIO-2032-447,Monitoring Visit Overdue,compliance,Scheduled monitoring visit is overdue by >30 days,Medium,Mitigated,2026-01-21,"[""SITE-1478"", ""SITE-1485"", ""SITE-1488"", ""SITE-1467"", ""SITE-1475""]",5,0.14,Schedule ad-hoc site visit,Data Management Lead,38
SIG-41657,BIO-2032-447,Competitive Recruitment Risk,strategic,Competing trial opened at site catchment area,Medium,Under Review,2026-02-02,"[""SITE-1477"", ""SITE-1488"", ""SITE-1484"", ""SITE-1471""]",4,0.41,Implement corrective action plan,Data Management Lead,7
SIG-80825,BIO-2032-447,Budget Variance Alert,financial,Study spending deviating >15% from forecast,Critical,Closed,2026-02-03,"[""SITE-1464""]",1,0.52,Increase monitoring frequency,Medical Monitor,17
SIG-67202,BIO-2032-447,Protocol Deviation Trend,compliance,Increasing trend in protocol deviations detected,Low,Under Review,2026-02-13,"[""SITE-1481"", ""SITE-1464"", ""SITE-1479""]",3,0.84,Review with medical monitor,Clinical Operations Lead,20
SIG-50883,BIO-2033-926,Supply Chain Risk,supply,Drug supply levels approaching minimum threshold,Medium,Under Review,2026-02-11,"[""SITE-1519"", ""SITE-1540"", ""SITE-1527""]",3,0.18,Implement corrective action plan,Study Director,15
SIG-62784,BIO-2033-926,Competitive Recruitment Risk,strategic,Competing trial opened at site catchment area,Medium,Mitigated,2026-01-30,"[""SITE-1503"", ""SITE-1523"", ""SITE-1529"", ""SITE-1512""]",4,0.19,Engage backup sites,Supply Chain Manager,10
SIG-16088,BIO-2033-926,Data Quality Alert,quality,Query rate per 100 CRFs exceeds acceptable threshold,Low,Closed,2026-01-15,"[""SITE-1500""]",1,0.66,Engage backup sites,Supply Chain Manager,19
SIG-56898,BIO-2034-835,High Screen Failure Rate,quality,Screen failure rate exceeds protocol threshold,Low,Under Review,2026-02-04,"[""SITE-1543"", ""SITE-1562"", ""SITE-1548""]",3,0.42,Escalate to study lead,Clinical Operations Lead,18
SIG-78197,BIO-2034-835,Data Quality Alert,quality,Query rate per 100 CRFs exceeds acceptable threshold,Medium,Closed,2026-02-09,"[""SITE-1558"", ""SITE-1569""]",2,0.64,Review with medical monitor,Study Director,15
SIG-36953,BIO-2034-835,Competitive Recruitment Risk,strategic,Competing trial opened at site catchment area,High,Open,2026-01-21,"[""SITE-1567"", ""SITE-1556"", ""SITE-1571""]",3,0.61,Escalate to study lead,Data Management Lead,36
SIG-15618,BIO-2034-835,Monitoring Visit Overdue,compliance,Scheduled monitoring visit is overdue by >30 days,High,Under Review,2026-01-26,"[""SITE-1551"", ""SITE-1547"", ""SITE-1550""]",3,0.16,Increase monitoring frequency,Data Management Lead,35
SIG-41742,BIO-2034-835,Site Activation Delay,operational,Site activation exceeding planned timeline,Medium,Open,2026-02-02,"[""SITE-1551"", ""SITE-1557""]",2,0.73,Escalate to study lead,Medical Monitor,25
SIG-50739,BIO-2034-835,Budget Variance Alert,financial,Study spending deviating >15% from forecast,Low,Mitigated,2026-01-22,"[""SITE-1546"", ""SITE-1555""]",2,0.96,Increase monitoring frequency,Supply Chain Manager,12
SIG-72771,BIO-2035-936,Competitive Recruitment Risk,strategic,Competing trial opened at site catchment area,Low,Under Review,2026-01-29,"[""SITE-1588"", ""SITE-1586""]",2,0.43,Adjust enrollment targets,Supply Chain Manager,26
SIG-82031,BIO-2035-936,Enrollment Below Target,enrollment,Enrollment rate is significantly below planned trajectory,High,Mitigated,2026-01-22,"[""SITE-1593"", ""SITE-1594"", ""SITE-1572"", ""SITE-1574"", ""SITE-1589""]",5,0.22,Increase monitoring frequency,Medical Monitor,12
